# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Dec  7 13:30:58 2023
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
#
pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_metratio,st_lum,rastr,ra,decstr,dec
11 Com b,11 Com,323.21000000,1.178000,12.200,4914.89849,0.238000,,,G8 III,4874.00,13.76,[Fe/H],1.978,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516
11 UMi b,11 UMi,516.21997000,1.530000,12.300,4684.81420,0.080000,,,K4 III,4213.00,29.79,[Fe/H],2.430,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428
14 And b,14 And,186.76000000,0.775000,13.100,1131.15130,0.000000,,,K0 III,4888.00,11.55,[Fe/H],1.840,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367
14 Her b,14 Her,1765.03890000,2.774000,12.600,2559.47216,0.373000,,,K0 V,5338.00,0.93,[Fe/H],-0.153,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621
16 Cyg B b,16 Cyg B,798.50000000,1.660000,13.500,565.73740,0.680000,,,G3 V,5750.00,1.13,[Fe/H],0.097,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243
17 Sco b,17 Sco,578.38000000,1.450000,12.900,1373.01872,0.060000,,,K3 III,4157.00,25.92,[Fe/H],2.254,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905
18 Del b,18 Del,982.85000000,2.476000,12.500,2926.24614,0.024000,,,G6 III,4980.00,8.80,[Fe/H],1.634,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,330.000000,18.647,3000.00000,,,1700,K7 V,4060.00,1.31,,-0.370,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403
24 Boo b,24 Boo,30.33000000,0.194000,13.900,280.64248,0.032000,,,G3 IV,4816.00,12.19,[Fe/H],1.877,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488
24 Sex b,24 Sex,452.80000000,1.333000,13.400,632.46000,0.090000,,,K0 IV,5098.00,4.90,[Fe/H],1.164,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998
